country|blacklist
Germany|one;has;David
Germany|Augustine;with;Robert
Germany|also;Pope;that;James;Henry;one;Green
Pakistan|has;Green
Pakistan|has;which;from;William;Hippo
Pakistan|Green;has;Pope;William;James
Russia|with;from;Hippo
Russia|has;William;from
Russia|that;Augustine
Philippines|Robert;from
Philippines|Robert;William;Henry;James;Augustine;Green;Pope
Philippines|with;has;Henry;Pope;that;also
Vietnam|Hippo;also
Vietnam|one;Henry;Green;Pope
Vietnam|William;which;Augustine
Mexico|Green
Mexico|William
Mexico|Hippo;Henry;James;also;Augustine;David;with
Indonesia|from;Pope;that
Indonesia|from;Augustine;also;Robert;Henry;Pope;which;album;David;Green
Indonesia|Pope;David;William;with;Henry
United_States|has;Pope;James;Henry
United_States|Augustine;Robert;Hippo;from;Green;that;has;with
United_States|also;Hippo;Henry;from
Brazil|Augustine;has;with
Brazil|Hippo;Robert;Augustine;from
Brazil|one;Henry;also;has
Japan|Augustine;Pope;Green
Japan|Robert;Hippo;David
Japan|with;William
