country1|country2
Mexico|Indonesia
Mexico|United_States
Mexico|Brazil
Mexico|Japan
Mexico|Netherlands
Mexico|Ethiopia
Mexico|Spain
Mexico|Egypt
Mexico|Niger
Mexico|Burma
Indonesia|United_States
Indonesia|Brazil
Indonesia|Japan
Indonesia|Netherlands
Indonesia|Ethiopia
Indonesia|Spain
Indonesia|Egypt
Indonesia|Niger
Indonesia|Burma
United_States|Brazil
United_States|Japan
United_States|Netherlands
United_States|Ethiopia
United_States|Spain
United_States|Egypt
United_States|Niger
United_States|Burma
Brazil|Japan
Brazil|Netherlands
Brazil|Ethiopia
Brazil|Spain
Brazil|Egypt
Brazil|Niger
Brazil|Burma
Japan|Netherlands
Japan|Ethiopia
Japan|Spain
Japan|Egypt
Japan|Niger
Japan|Burma
Netherlands|Ethiopia
Netherlands|Spain
Netherlands|Egypt
Netherlands|Niger
Netherlands|Burma
Ethiopia|Spain
Ethiopia|Egypt
Ethiopia|Niger
Ethiopia|Burma
Spain|Egypt
Spain|Niger
Spain|Burma
Egypt|Niger
Egypt|Burma
Niger|Burma
