tagClass|country
MusicalArtist|Netherlands
MusicalArtist|Ethiopia
MusicalArtist|Spain
MusicalArtist|Egypt
MusicalArtist|Niger
MusicalArtist|Burma
MusicalArtist|Romania
MusicalArtist|Democratic_Republic_of_the_Congo
MusicalArtist|Kazakhstan
MusicalArtist|Moldova
MusicalArtist|Belarus
MusicalArtist|Hungary
MusicalArtist|Senegal
MusicalArtist|Cambodia
MusicalArtist|Tunisia
MusicalArtist|Sweden
MusicalArtist|Canada
MusicalArtist|Czech_Republic
MusicalArtist|Yemen
MusicalArtist|Chile
MusicalArtist|Thailand
MusicalArtist|Australia
MusicalArtist|Greece
MusicalArtist|Cameroon
OfficeHolder|Netherlands
OfficeHolder|Ethiopia
OfficeHolder|Spain
OfficeHolder|Egypt
OfficeHolder|Niger
OfficeHolder|Burma
OfficeHolder|Romania
OfficeHolder|Democratic_Republic_of_the_Congo
OfficeHolder|Kazakhstan
OfficeHolder|Moldova
OfficeHolder|Belarus
OfficeHolder|Hungary
OfficeHolder|Senegal
OfficeHolder|Cambodia
OfficeHolder|Tunisia
OfficeHolder|Sweden
OfficeHolder|Canada
OfficeHolder|Czech_Republic
OfficeHolder|Yemen
OfficeHolder|Chile
OfficeHolder|Thailand
OfficeHolder|Australia
OfficeHolder|Greece
OfficeHolder|Cameroon
Writer|Netherlands
Writer|Ethiopia
Writer|Spain
Writer|Egypt
Writer|Niger
Writer|Burma
Writer|Romania
Writer|Democratic_Republic_of_the_Congo
Writer|Kazakhstan
Writer|Moldova
Writer|Belarus
Writer|Hungary
Writer|Senegal
Writer|Cambodia
Writer|Tunisia
Writer|Sweden
Writer|Canada
Writer|Czech_Republic
Writer|Yemen
Writer|Chile
Writer|Thailand
Writer|Australia
Writer|Greece
Writer|Cameroon
