tagClass1|tagClass2|threshold
BaseballPlayer|ChristianBishop|200
BaseballPlayer|MilitaryPerson|200
BaseballPlayer|Comedian|200
BaseballPlayer|FictionalCharacter|200
BaseballPlayer|ComicsCreator|200
BaseballPlayer|PrimeMinister|200
BaseballPlayer|Cricketer|200
BaseballPlayer|ComicsCharacter|200
ChristianBishop|MilitaryPerson|200
ChristianBishop|Comedian|200
ChristianBishop|FictionalCharacter|200
ChristianBishop|ComicsCreator|200
ChristianBishop|PrimeMinister|200
ChristianBishop|Cricketer|200
ChristianBishop|ComicsCharacter|200
MilitaryPerson|Comedian|200
MilitaryPerson|FictionalCharacter|200
MilitaryPerson|ComicsCreator|200
MilitaryPerson|PrimeMinister|200
MilitaryPerson|Cricketer|200
MilitaryPerson|ComicsCharacter|200
Comedian|FictionalCharacter|200
Comedian|ComicsCreator|200
Comedian|PrimeMinister|200
Comedian|Cricketer|200
Comedian|ComicsCharacter|200
FictionalCharacter|ComicsCreator|200
FictionalCharacter|PrimeMinister|200
FictionalCharacter|Cricketer|200
FictionalCharacter|ComicsCharacter|200
ComicsCreator|PrimeMinister|200
ComicsCreator|Cricketer|200
ComicsCreator|ComicsCharacter|200
PrimeMinister|Cricketer|200
PrimeMinister|ComicsCharacter|200
Cricketer|ComicsCharacter|200
